"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"141",0.9,100,3000,3,"trial","mean",0.68237,0.57304,0.77603,107,23226,217.065420560748,1,0.904439252336449,"Stroop_1","internal_consistency"
"142",0,200,3000,3,"trial","mean",0.67545,0.54156,0.76975,107,23207,216.88785046729,1,0.903699376947041,"Stroop_1","internal_consistency"
"143",0.8,200,3000,3,"trial","mean",0.67638,0.56392,0.763,107,23207,216.88785046729,1,0.903699376947041,"Stroop_1","internal_consistency"
"144",0.9,200,3000,3,"trial","mean",0.66929,0.55303,0.76326,107,23207,216.88785046729,1,0.903699376947041,"Stroop_1","internal_consistency"
"145",0,0,2000,0,"subject","median",0.59981,0.44123,0.71946,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"146",0.8,0,2000,0,"subject","median",0.59592,0.45481,0.71373,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"147",0.9,0,2000,0,"subject","median",0.60261,0.46338,0.71293,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"148",0,100,2000,0,"subject","median",0.62696,0.46326,0.75442,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"149",0.8,100,2000,0,"subject","median",0.63051,0.47038,0.7403,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"150",0.9,100,2000,0,"subject","median",0.62762,0.47069,0.7497,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"151",0,200,2000,0,"subject","median",0.62811,0.49574,0.72939,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"152",0.8,200,2000,0,"subject","median",0.63295,0.51588,0.74219,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"153",0.9,200,2000,0,"subject","median",0.62916,0.50843,0.73263,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"154",0,0,3000,0,"subject","median",0.61423,0.46293,0.72296,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
"155",0.8,0,3000,0,"subject","median",0.61414,0.48327,0.72371,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
