"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"117",0.9,200,2000,2,"trial","mean",0.81479,0.7272,0.8687,107,44792,418.616822429907,1,0.872118380062305,"Stroop_1","internal_consistency"
"118",0,0,3000,2,"trial","mean",0.82548,0.76499,0.87353,107,45078,421.289719626168,1,0.87768691588785,"Stroop_1","internal_consistency"
"119",0.8,0,3000,2,"trial","mean",0.8263,0.77246,0.87084,107,45078,421.289719626168,1,0.87768691588785,"Stroop_1","internal_consistency"
"120",0.9,0,3000,2,"trial","mean",0.8245,0.76682,0.87171,107,45078,421.289719626168,1,0.87768691588785,"Stroop_1","internal_consistency"
"121",0,100,3000,2,"trial","mean",0.83631,0.78155,0.88233,107,45034,420.878504672897,1,0.876830218068536,"Stroop_1","internal_consistency"
"122",0.8,100,3000,2,"trial","mean",0.83582,0.78511,0.88067,107,45034,420.878504672897,1,0.876830218068536,"Stroop_1","internal_consistency"
"123",0.9,100,3000,2,"trial","mean",0.83431,0.77598,0.87794,107,45034,420.878504672897,1,0.876830218068536,"Stroop_1","internal_consistency"
"124",0,200,3000,2,"trial","mean",0.81906,0.74114,0.8762,107,45003,420.588785046729,1,0.876226635514019,"Stroop_1","internal_consistency"
"125",0.8,200,3000,2,"trial","mean",0.8161,0.73734,0.86711,107,45003,420.588785046729,1,0.876226635514019,"Stroop_1","internal_consistency"
"126",0.9,200,3000,2,"trial","mean",0.81423,0.73905,0.86953,107,45003,420.588785046729,1,0.876226635514019,"Stroop_1","internal_consistency"
"127",0,0,2000,3,"trial","mean",0.80049,0.73452,0.85303,107,46259,432.327102803738,1,0.900681464174455,"Stroop_1","internal_consistency"
"128",0.8,0,2000,3,"trial","mean",0.79793,0.73796,0.85519,107,46259,432.327102803738,1,0.900681464174455,"Stroop_1","internal_consistency"
"129",0.9,0,2000,3,"trial","mean",0.80022,0.73379,0.85643,107,46259,432.327102803738,1,0.900681464174455,"Stroop_1","internal_consistency"
"130",0,100,2000,3,"trial","mean",0.80447,0.73255,0.86484,107,46213,431.897196261682,1,0.899785825545171,"Stroop_1","internal_consistency"
"131",0.8,100,2000,3,"trial","mean",0.8063,0.73873,0.86069,107,46213,431.897196261682,1,0.899785825545171,"Stroop_1","internal_consistency"
"132",0.9,100,2000,3,"trial","mean",0.80487,0.73941,0.85873,107,46213,431.897196261682,1,0.899785825545171,"Stroop_1","internal_consistency"
"133",0,200,2000,3,"trial","mean",0.79566,0.71885,0.85184,107,46179,431.579439252336,1,0.899123831775701,"Stroop_1","internal_consistency"
"134",0.8,200,2000,3,"trial","mean",0.79537,0.70518,0.85349,107,46179,431.579439252336,1,0.899123831775701,"Stroop_1","internal_consistency"
"135",0.9,200,2000,3,"trial","mean",0.79296,0.70651,0.85208,107,46179,431.579439252336,1,0.899123831775701,"Stroop_1","internal_consistency"
"136",0,0,3000,3,"trial","mean",0.8029,0.73907,0.86087,107,46379,433.448598130841,1,0.903017912772586,"Stroop_1","internal_consistency"
"137",0.8,0,3000,3,"trial","mean",0.80355,0.73966,0.85567,107,46379,433.448598130841,1,0.903017912772586,"Stroop_1","internal_consistency"
"138",0.9,0,3000,3,"trial","mean",0.80049,0.7348,0.85879,107,46379,433.448598130841,1,0.903017912772586,"Stroop_1","internal_consistency"
"139",0,100,3000,3,"trial","mean",0.80959,0.73764,0.86323,107,46332,433.009345794393,1,0.902102803738318,"Stroop_1","internal_consistency"
"140",0.8,100,3000,3,"trial","mean",0.80965,0.74176,0.86247,107,46332,433.009345794393,1,0.902102803738318,"Stroop_1","internal_consistency"
"141",0.9,100,3000,3,"trial","mean",0.81152,0.74253,0.86909,107,46332,433.009345794393,1,0.902102803738318,"Stroop_1","internal_consistency"
"142",0,200,3000,3,"trial","mean",0.80013,0.72286,0.85586,107,46297,432.682242990654,1,0.901421339563863,"Stroop_1","internal_consistency"
"143",0.8,200,3000,3,"trial","mean",0.80289,0.71742,0.86486,107,46297,432.682242990654,1,0.901421339563863,"Stroop_1","internal_consistency"
"144",0.9,200,3000,3,"trial","mean",0.80085,0.72512,0.85866,107,46297,432.682242990654,1,0.901421339563863,"Stroop_1","internal_consistency"
"145",0,0,2000,0,"subject","median",0.7545,0.66904,0.81905,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"146",0.8,0,2000,0,"subject","median",0.75333,0.66603,0.82587,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"147",0.9,0,2000,0,"subject","median",0.75509,0.67251,0.819,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"148",0,100,2000,0,"subject","median",0.76357,0.67323,0.83502,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"149",0.8,100,2000,0,"subject","median",0.76324,0.67468,0.83387,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
